"subject","group","task","run","BOLD","param","value","range"
"sub-experimental006","experimental","magictrickwatching",1,"magictrickwatching_run-1","Mean",106.268821635243,NA
"sub-experimental006","experimental","magictrickwatching",1,"magictrickwatching_run-1","Mean_(mask)",452.420148785448,NA
"sub-experimental006","experimental","magictrickwatching",1,"magictrickwatching_run-1","SD",221.234078999997,NA
"sub-experimental006","experimental","magictrickwatching",1,"magictrickwatching_run-1","SD_(mask)",227.522598538384,NA
"sub-experimental006","experimental","magictrickwatching",1,"magictrickwatching_run-1","Min_Slice_SNR",301.200891925744,NA
"sub-experimental006","experimental","magictrickwatching",1,"magictrickwatching_run-1","Max_Slice_SNR",925.008633218329,NA
"sub-experimental006","experimental","magictrickwatching",1,"magictrickwatching_run-1","Mean_voxel_SNR",581.230735956423,NA
"sub-experimental006","experimental","magictrickwatching",1,"magictrickwatching_run-1","Mean_absolute_Movement",0.169002263766798,NA
"sub-experimental006","experimental","magictrickwatching",1,"magictrickwatching_run-1","Max_absolute_Movement",0.665843109635837,NA
"sub-experimental006","experimental","magictrickwatching",1,"magictrickwatching_run-1","Max_relative_Movement",0.4706,NA
"sub-experimental006","experimental","magictrickwatching",1,"magictrickwatching_run-1","Relative_movements_(>0.1mm)",54,NA
"sub-experimental006","experimental","magictrickwatching",1,"magictrickwatching_run-1","Relative_movements_(>0.5mm)",0,NA
"sub-experimental006","experimental","magictrickwatching",1,"magictrickwatching_run-1","Relative_movements_(>voxelsize)",0,NA
"sub-experimental006","experimental","magictrickwatching",2,"magictrickwatching_run-2","SNR_voxel_MEAN",11.6939859148535,NA
"sub-experimental006","experimental","magictrickwatching",2,"magictrickwatching_run-2","SNR_voxel_STD",3.08510086952517,NA
"sub-experimental006","experimental","magictrickwatching",2,"magictrickwatching_run-2","SNR_voxel_value_range",NA," 0.0 - 13.67098445595855"
"sub-experimental006","experimental","magictrickwatching",2,"magictrickwatching_run-2","Mean",102.660239516278,NA
"sub-experimental006","experimental","magictrickwatching",2,"magictrickwatching_run-2","Mean_(mask)",435.60110365291,NA
"sub-experimental006","experimental","magictrickwatching",2,"magictrickwatching_run-2","SD",211.752231336357,NA
"sub-experimental006","experimental","magictrickwatching",2,"magictrickwatching_run-2","SD_(mask)",212.669903462193,NA
"sub-experimental006","experimental","magictrickwatching",2,"magictrickwatching_run-2","Min_Slice_SNR",343.140914876705,NA
"sub-experimental006","experimental","magictrickwatching",2,"magictrickwatching_run-2","Max_Slice_SNR",936.470091228121,NA
"sub-experimental006","experimental","magictrickwatching",2,"magictrickwatching_run-2","Mean_voxel_SNR",623.912021760605,NA
"sub-experimental006","experimental","magictrickwatching",2,"magictrickwatching_run-2","Mean_absolute_Movement",0.200735903946043,NA
"sub-experimental006","experimental","magictrickwatching",2,"magictrickwatching_run-2","Max_absolute_Movement",0.7593,NA
"sub-experimental006","experimental","magictrickwatching",2,"magictrickwatching_run-2","Max_relative_Movement",0.736179878491208,NA
"sub-experimental006","experimental","magictrickwatching",2,"magictrickwatching_run-2","Relative_movements_(>0.1mm)",102,NA
"sub-experimental006","experimental","magictrickwatching",2,"magictrickwatching_run-2","Relative_movements_(>0.5mm)",4,NA
"sub-experimental006","experimental","magictrickwatching",2,"magictrickwatching_run-2","Relative_movements_(>voxelsize)",0,NA
"sub-experimental006","experimental","magictrickwatching",3,"magictrickwatching_run-3","SNR_voxel_MEAN",11.5897101589599,NA
"sub-experimental006","experimental","magictrickwatching",3,"magictrickwatching_run-3","SNR_voxel_STD",3.05696937064124,NA
"sub-experimental006","experimental","magictrickwatching",3,"magictrickwatching_run-3","SNR_voxel_value_range",NA," 0.0 - 13.56951871657754"
"sub-experimental006","experimental","magictrickwatching",3,"magictrickwatching_run-3","Mean",101.020001041629,NA
"sub-experimental006","experimental","magictrickwatching",3,"magictrickwatching_run-3","Mean_(mask)",425.78032644161,NA
"sub-experimental006","experimental","magictrickwatching",3,"magictrickwatching_run-3","SD",207.391677660241,NA
"sub-experimental006","experimental","magictrickwatching",3,"magictrickwatching_run-3","SD_(mask)",207.383763716874,NA
"sub-experimental006","experimental","magictrickwatching",3,"magictrickwatching_run-3","Min_Slice_SNR",365.488519564977,NA
"sub-experimental006","experimental","magictrickwatching",3,"magictrickwatching_run-3","Max_Slice_SNR",906.079526587694,NA
"sub-experimental006","experimental","magictrickwatching",3,"magictrickwatching_run-3","Mean_voxel_SNR",627.085522020778,NA
"sub-experimental006","experimental","magictrickwatching",3,"magictrickwatching_run-3","Mean_absolute_Movement",0.230679996245827,NA
"sub-experimental006","experimental","magictrickwatching",3,"magictrickwatching_run-3","Max_absolute_Movement",1.3571,NA
