Subj1	Subj2	grp	corrCuriosity	grpCorrCuriosity	corrConfidence	grpCorrConfidence	corrAllConf	grpCorrAllConf	corrHighConf	grpCorrHighConf	corrAboveAvgConf	grpCorrAboveAvgConf	corrContConf	grpCorrContConf	cuBetaAllConf	grpCuBetaAllConf	cuBetaHighConf	grpCuBetaHighConf	cuBetaAboveAvgConf	grpCuBetaAboveAvgConf	cuBetaContConf	grpCuBetaContConf	uniqueCurAboveAvgConf	grpUniqueCurAboveAvgConf	uniqueMemAboveAvgConf	grpUniqueMemAboveAvgConf	uniqueConfidence	grpUniqueConfidence	InputFile	\
sub-control009	sub-experimental022	0	0.493504647020699	0	0.405775977979608	0	0.173917141715979	0	0.337461300309597	0	0.433200112721982	0	0.282331032397748	0	-0.0311969204634853	0	-0.000111451274315132	0	-0.0263010834536838	0	0.00429859124989862	0	0.382992103721944	0	0.185337768512491	0	0.175062271081932	0	ISC_sub-control009sub-experimental022_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental024	0	0.31714834319049	0	0.185482262561062	0	-0.134708982148983	0	-0.0443865526579094	0	0.0891882585015845	0	0.308558275164507	0	-0.0262753542125713	0	-0.00919694872296784	0	-0.0253076539379973	0	-0.0215256376633341	0	0.238483853141013	0	-0.141237452590543	0	-0.0301534768916508	0	ISC_sub-control009sub-experimental024_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental026	0	0.0830680929359458	0	0.317971453406866	0	0.397573283972945	0	0.479456723384672	0	0.491397570106278	0	0.460621937306821	0	-0.0182023287297448	0	-0.0126332175960596	0	-0.0353663795198727	0	-0.0100376308165513	0	-0.032832275517695	0	0.284115752116143	0	0.0763309980227521	0	ISC_sub-control009sub-experimental026_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental028	0	0.156098727628754	0	0.148838819249586	0	0.0325159612083752	0	0.183887146725625	0	0.20385887657505	0	0.232591570610277	0	-0.027669026424611	0	-0.00912620611031377	0	-0.0228285820492915	0	-0.0122320819954289	0	0.0668182198295177	0	-0.0106435984361836	0	-0.074966715489255	0	ISC_sub-control009sub-experimental028_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental030	0	0.117219901201286	0	0.146789237925026	0	0.058100014671115	0	0.183547544047155	0	0.266800048744096	0	0.233026310467259	0	-0.077171695135455	0	-0.0345404391817398	0	-0.101818856568506	0	-0.0398318899672381	0	0.0221124029125669	0	0.056141586210591	0	-0.0782662089093649	0	ISC_sub-control009sub-experimental030_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental032	0	0.244893449178595	0	0.459746429927966	0	0.366965847923092	0	0.412160846109159	0	0.318529494648516	0	0.287090127653262	0	-0.0130554388945206	0	-0.00883749603048626	0	-0.0183553543399857	0	0.00591451445947243	0	0.1449969236296	0	0.0952477418411587	0	0.219601304616868	0	ISC_sub-control009sub-experimental032_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental034	0	0.237766454453379	0	0.541083250837937	0	0.0803219328902499	0	0.505607651983592	0	0.597614304667197	0	0.380828169566069	0	-0.0589392867938801	0	-0.0299428669746136	0	-0.0853944494058015	0	-0.0327534681040529	0	0.112032714920341	0	0.375037209360331	0	0.314942149441072	0	ISC_sub-control009sub-experimental034_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental036	0	0.150007407910759	0	0.192798512989363	0	0.24096579867075	0	0.247772937588052	0	0.258630300055936	0	0.222205391750439	0	-0.0872244686012319	0	-0.0127624615216277	0	-0.0387674109079879	0	-0.0373685510106517	0	0.0556562515563698	0	0.0447300836814304	0	-0.0411908643348213	0	ISC_sub-control009sub-experimental036_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental038	0	0.204715489277967	0	0.419643454531127	0	-0.134708982148983	0	0.0622090752241799	0	0.2125	0	0.425326768539492	0	-0.0593434600578983	0	-0.00334288755911669	0	-0.0117264225261247	0	-0.0570996268467518	0	0.11463500044437	0	-0.00680929290104253	0	0.204007715078414	0	ISC_sub-control009sub-experimental038_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental040	0	0.320191935088367	0	0.487900629649312	0	0.0823411115484021	0	0.286161746031228	0	0.4375	0	0.377828002404513	0	-0.024351934620842	0	-0.00386123146048295	0	-0.0184325356190252	0	-0.0583822634343247	0	0.209281315277666	0	0.20677336405217	0	0.261660881029419	0	ISC_sub-control009sub-experimental040_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental042	0	0.066272196223272	0	0.0233380014004668	0	0.00915353377452523	0	0.158523402349676	0	0.223606797749979	0	0.149063697895826	0	-0.0568831734404771	0	0.0149749541200939	0	0.00480398935977179	0	-0.032174055455451	0	-0.024836541729739	0	0.0179856172448412	0	-0.199326159057184	0	ISC_sub-control009sub-experimental042_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental044	0	0.227164471546763	0	0.375183239688433	0	0.171735516296437	0	0.158733976675676	0	0.510114416838276	0	0.308848763260801	0	0.00401400823630046	0	0.0287262925906075	0	0.0191174354245987	0	0.0170291251799413	0	0.109531328120207	0	0.288585556736187	0	0.144576116370401	0	ISC_sub-control009sub-experimental044_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental046	0	0.144066520468748	0	0.247936536368995	0	0.256710524239136	0	0.273719930986392	0	0.35	0	0.218434928353265	0	0.0324354113229313	0	0.0103560071756129	0	0.0428651969909575	0	0.0554444426707837	0	0.0412565071491436	0	0.136687168779686	0	0.0131779485302332	0	ISC_sub-control009sub-experimental046_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental048	0	-0.0804508834070556	0	0.467571900119518	0	-0.0135768846660426	0	0.114551083591331	0	0.375013935081107	0	0.3324563203194	0	-0.0581694439237489	0	-0.000184817080511632	0	-0.0341486117551614	0	-0.0155825535433925	0	-0.18557664581107	0	0.18389950286792	0	0.246018237065539	0	ISC_sub-control009sub-experimental048_magictrickwatching_z.nii.gz	\
sub-control009	sub-experimental050	0	0.420357858075534	0	0.562859080789842	0	-0.155610074166929	0	0.337461300309597	0	0.497672601793439	0	0.445432802579068	0	-0.0702645742799211	0	0.000677154637628016	0	0.0105267894712286	0	-0.0393036957686259	0	0.303876557479986	0	0.257042398963925	0	0.348244466772217	0	ISC_sub-control009sub-experimental050_magictrickwatching_z.nii.gz	\
sub-control011	sub-control013	-1	0.308102701585429	-0.308102701585429	0.206041217255149	-0.206041217255149	0.180906806746658	-0.180906806746658	0.185730823623234	-0.185730823623234	0.295595371033823	-0.295595371033823	0.0302667713935191	-0.0302667713935191	0.0650603341934229	-0.0650603341934229	-0.00556748797365942	0.00556748797365942	0.00834177096605052	-0.00834177096605052	0.0456212320505324	-0.0456212320505324	0.210329379586386	-0.210329379586386	0.066064017163711	-0.066064017163711	-0.0250139705919158	0.0250139705919158	ISC_sub-control011sub-control013_magictrickwatching_z.nii.gz	\
sub-control011	sub-control015	-1	0.218283095827907	-0.218283095827907	0.356671073898101	-0.356671073898101	0.223606797749979	-0.223606797749979	0.572502574076671	-0.572502574076671	0.426401432711221	-0.426401432711221	0.500562554142105	-0.500562554142105	-0.000103978611309008	0.000103978611309008	-0.0156924069280394	0.0156924069280394	-0.0271525067784421	0.0271525067784421	-0.0171478594086225	0.0171478594086225	0.108399963174021	-0.108399963174021	0.205750688597185	-0.205750688597185	0.123529772710449	-0.123529772710449	ISC_sub-control011sub-control015_magictrickwatching_z.nii.gz	\
sub-control011	sub-control017	-1	0.405687629265739	-0.405687629265739	0.362094637517518	-0.362094637517518	0	0	0.479456723384672	-0.479456723384672	0.295595371033823	-0.295595371033823	0.335695420881797	-0.335695420881797	0.0516065557589006	-0.0516065557589006	0.00585303172797052	-0.00585303172797052	-0.00426113169650446	0.00426113169650446	0.0219883275552896	-0.0219883275552896	0.307914307266695	-0.307914307266695	0.0564156374642582	-0.0564156374642582	0.139877674084313	-0.139877674084313	ISC_sub-control011sub-control017_magictrickwatching_z.nii.gz	\
sub-control011	sub-control019	-1	0.276815768709674	-0.276815768709674	0.247396488578391	-0.247396488578391	0	0	0.373148617234793	-0.373148617234793	0.38586041963299	-0.38586041963299	0.130896776499812	-0.130896776499812	0.0963232439663137	-0.0963232439663137	0.0248859541727858	-0.0248859541727858	0.0355312632245252	-0.0355312632245252	0.0273102029398807	-0.0273102029398807	0.170685856555184	-0.170685856555184	0.159422455440898	-0.159422455440898	0.0251795251451861	-0.0251795251451861	ISC_sub-control011sub-control019_magictrickwatching_z.nii.gz	\
sub-control011	sub-control021	-1	0.017625135040049	-0.017625135040049	0.317573103714369	-0.317573103714369	0	0	0.0408930410054765	-0.0408930410054765	0.107871977994119	-0.107871977994119	0.125398334143891	-0.125398334143891	0.128272292935911	-0.128272292935911	0.0224120426504441	-0.0224120426504441	0.0564660423252675	-0.0564660423252675	0.0831768274718121	-0.0831768274718121	-0.0627690631168457	0.0627690631168457	-0.0929393888572558	0.0929393888572558	0.0953561402811638	-0.0953561402811638	ISC_sub-control011sub-control021_magictrickwatching_z.nii.gz	\
sub-control011	sub-control023	-1	0.0387174673570504	-0.0387174673570504	0.194172551853079	-0.194172551853079	0.113960576459638	-0.113960576459638	0.349297046017072	-0.349297046017072	0.336731985044584	-0.336731985044584	0.144687669682073	-0.144687669682073	0.00835857186314697	-0.00835857186314697	-0.00994399483423735	0.00994399483423735	-0.0172898477929537	0.0172898477929537	-0.046948949638056	0.046948949638056	-0.0628642148988767	0.0628642148988767	0.133835185168059	-0.133835185168059	-0.0336119696349961	0.0336119696349961	ISC_sub-control011sub-control023_magictrickwatching_z.nii.gz	\
